2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
2,2
2,4
2,6
1,2
1,4
1,6
